title,genre,mood,description
The Hangover,Comedy,"Happy Excited","A group of friends has a wild and funny adventure after a bachelor party."
Superbad,Comedy,"Happy Excited","Two friends experience a hilarious and chaotic night before finishing school."
The Pursuit of Happyness,Drama,"Sad Motivational","A struggling father works hard to build a better life for himself and his son."
The Fault in Our Stars,Romance Drama,"Sad Emotional","Two young people meet and develop a deep emotional relationship while facing difficult circumstances."
The Notebook,Romance Drama,"Romantic Emotional","A powerful love story between two people who remain connected throughout their lives."
La La Land,Romance Musical,"Romantic Happy Emotional","Two aspiring artists fall in love while trying to achieve their dreams."
Avengers: Endgame,Action Adventure Science Fiction,"Excited Emotional","Superheroes come together for an epic battle to save the universe."
The Dark Knight,Action Crime Thriller,"Excited Serious","A superhero faces a dangerous criminal who creates chaos in a city."
Mission Impossible,Action Thriller,"Excited","An agent takes on dangerous missions involving action, secrets and unexpected situations."
Interstellar,Science Fiction Drama,"Curious Emotional","Astronauts travel through space to search for a new home for humanity."
The Martian,Science Fiction Adventure,"Motivational Curious","An astronaut becomes stranded on Mars and uses science and determination to survive."
Inception,Science Fiction Thriller,"Curious Excited","A skilled team enters dreams to perform a complicated mission involving ideas and memories."
Harry Potter and the Sorcerer's Stone,Fantasy Adventure,"Happy Curious","A young wizard discovers his magical abilities and begins an exciting journey at a school of magic."
The Lord of the Rings,Fantasy Adventure Drama,"Excited Emotional","A group of characters travels across a fantasy world to destroy a powerful ring."
Jumanji,Adventure Fantasy Comedy,"Happy Excited","A magical game brings dangerous creatures and exciting adventures into the real world."
Jurassic Park,Adventure Science Fiction Thriller,"Excited Scared Curious","A dinosaur theme park becomes dangerous when the creatures escape."
A Quiet Place,Horror Thriller,"Scared Serious","A family tries to survive in a world where dangerous creatures hunt anything that makes sound."
The Conjuring,Horror Mystery Thriller,"Scared Curious","Investigators help a family experiencing frightening supernatural events."
Get Out,Horror Mystery Thriller,"Scared Curious Serious","A young man discovers disturbing secrets during a visit to his girlfriend's family."
Insidious,Horror Mystery,"Scared","A family faces mysterious supernatural events involving their home and their son."
Toy Story,Animation Comedy Adventure,"Happy Relaxed","Toys come alive and experience friendship, adventure and funny situations."
Finding Nemo,Animation Adventure,"Happy Emotional","A father travels across the ocean to find his missing son."
Inside Out,Animation Comedy Drama,"Happy Emotional Curious","A young girl's emotions try to help her deal with a major change in her life."
Coco,Animation Fantasy Drama,"Happy Emotional","A young boy enters a magical world and discovers important truths about his family."
Spider-Man,Action Adventure Science Fiction,"Excited Happy","A teenager gains special powers and learns how to become a superhero."
Iron Man,Action Science Fiction,"Excited Motivational","A billionaire builds advanced technology and becomes a superhero."
Black Panther,Action Adventure Science Fiction,"Excited Motivational","A superhero protects his kingdom while facing a powerful challenger."
Titanic,Romance Drama,"Romantic Sad Emotional","Two people from different backgrounds fall in love during a journey on a famous ship."
The Shawshank Redemption,Drama,"Motivational Emotional","A prisoner maintains hope and friendship while trying to build a better future."
Forrest Gump,Drama Romance,"Happy Emotional Motivational","A kind man experiences important moments in life while remaining optimistic."
Whiplash,Drama Music,"Motivational Serious","A young musician pushes himself extremely hard to become an excellent drummer."
